Year,Month,mmyy,Customer Number,Customer Name,Column1,City,Province,Postal Code,Item Code,Item Number,Description,QtyRev, $ ,Q
2018,1,2018-01,,Sunrise Mills Natural,,Cambridge,ON,N3H 3P2,SOL,SOL00013,Org Coconut Flour 700g,1,$5.55 ,1
2018,1,2018-01,,Happy House Healthy Foods,,St Paul,AB,T0A 3A3,SOL,SOL00010,Org Tapioca Starch 1kg,3,$19.05 ,1
2018,1,2018-01,,Happy House Healthy Foods,,St Paul,AB,T0A 3A3,SOL,SOL00012,Org All-Purpose Mix 1kg,1,$7.02 ,1
2018,1,2018-01,,Simcoe Natural Foods,,Simcoe,ON,N3Y 4R5,SOL,SOL00013,Org Coconut Flour 700g,6,$33.30 ,1
2018,1,2018-01,,Healthyway Natural Foods,,Campbell River,BC,V9W 2W4,SOL,SOL00018,Org Chickpea Flour 700g,6,$52.80 ,1
2018,1,2018-01,,Healthyway Natural Foods,,Campbell River,BC,V9W 2W4,SOL,SOL00007,Org Buckwheat Flour 1kg,1,$4.71 ,1
2018,1,2018-01,,Healthyway Natural Foods,,Campbell River,BC,V9W 2W4,SOL,SOL00012,Org All-Purpose Mix 1kg,6,$42.12 ,1
2018,1,2018-01,,Healthyway Natural Foods,,Campbell River,BC,V9W 2W4,SOL,SOL00007,Org Buckwheat Flour 1kg,6,$28.26 ,1
2018,1,2018-01,,Noahs Natural 2-2395,,Toronto,ON,M4P 2E7,SOL,SOL00018,Org Chickpea Flour 700g,4,$35.20 ,1
2018,1,2018-01,,Corn Crib Natural Foods,,Moncton,NB,E1C 2M5,SOL,SOL00007,Org Buckwheat Flour 1kg,2,$9.42 ,1
2018,1,2018-01,,Ave Maria Gifts & Specialties,,Prince George,BC,V2L 4B6,SOL,SOL00012,Org All-Purpose Mix 1kg,6,$37.68 ,1
2018,1,2018-01,,Angele s Nutri-Clinic,,Cocagne,NB,E4R 2Y1,SOL,SOL00012,Org All-Purpose Mix 1kg,6,$44.34 ,1
2018,1,2018-01,,Old Fashion Foods Ltd.,,Regina,SK,S4X 4P7,SOL,SOL00083,Org Grilled Lentils S & P 55g*12,1,$17.17 ,1
2018,1,2018-01,,Old Fashion Foods Ltd.,,Regina,SK,S4X 4P7,SOL,SOL00084,Org Grilled Lentils Thai 55g*12,1,$17.17 ,1
2018,1,2018-01,,Old Fashion Foods Ltd.,,Regina,SK,S4X 4P7,SOL,SOL00085,Org Grilled Lentils Namaste 55g*12,1,$17.17 ,1
2018,1,2018-01,,Saskatoon Herbs n Health,,Saskatoon,SK,S7N 1C1,SOL,SOL00007,Org Buckwheat Flour 1kg,2,$9.42 ,1
2018,1,2018-01,,Fountain Head Health Store The,,Fergus,ON,N1M 1N7,SOL,SOL00010,Org Tapioca Starch 1kg,3,$19.05 ,1
2018,1,2018-01,,Fountain Head Health Store The,,Fergus,ON,N1M 1N7,SOL,SOL00007,Org Buckwheat Flour 1kg,2,$9.42 ,1
2018,1,2018-01,,Fountain Head Health Store The,,Fergus,ON,N1M 1N7,SOL,SOL00007,Org Buckwheat Flour 1kg,3,$14.13 ,1
2018,1,2018-01,,Fountain Head Health Store The,,Fergus,ON,N1M 1N7,SOL,SOL00013,Org Coconut Flour 700g,2,$11.10 ,1
2018,1,2018-01,,Elly Boersema Natural Health,,Strathroy,ON,N7G 3H8,SOL,SOL00013,Org Coconut Flour 700g,1,$5.55 ,1
2018,1,2018-01,,Elly Boersema Natural Health,,Strathroy,ON,N7G 3H8,SOL,SOL00013,Org Coconut Flour 700g,6,$33.30 ,1
2018,1,2018-01,,S & H Health - Northland Mall,,London,ON,N5Y 1A8,SOL,SOL00006,Org Brown Rice Flour 1kg,1,$6.30 ,1
2018,1,2018-01,,S & H Health - Northland Mall,,London,ON,N5Y 1A8,SOL,SOL00007,Org Buckwheat Flour 1kg,1,$4.71 ,1
2018,1,2018-01,,S & H Health - Northland Mall,,London,ON,N5Y 1A8,SOL,SOL00013,Org Coconut Flour 700g,1,$5.55 ,1
2018,1,2018-01,,Two Farm Kids Natural Foods,,Brandon,MB,R7B 3P8,SOL,SOL00006,Org Brown Rice Flour 1kg,2,$12.60 ,1
2018,1,2018-01,,Two Farm Kids Natural Foods,,Brandon,MB,R7B 3P8,SOL,SOL00006,Org Brown Rice Flour 1kg,4,$25.20 ,1
2018,1,2018-01,,Two Farm Kids Natural Foods,,Brandon,MB,R7B 3P8,SOL,SOL00010,Org Tapioca Starch 1kg,1,$6.35 ,1
2018,1,2018-01,,The Vitamin Farm / Supreme Health,,Edmonton,AB,T5J 2Y9,SOL,SOL00007,Org Buckwheat Flour 1kg,1,$4.71 ,1
2018,1,2018-01,,The Vitamin Farm / Supreme Health,,Edmonton,AB,T5J 2Y9,SOL,SOL00012,Org All-Purpose Mix 1kg,1,$7.02 ,1
2018,1,2018-01,,The Vitamin Farm / Supreme Health,,Edmonton,AB,T5J 2Y9,SOL,SOL00013,Org Coconut Flour 700g,1,$5.55 ,1
2018,1,2018-01,,The Vitamin Farm / Supreme Health,,Edmonton,AB,T5J 2Y9,SOL,SOL00018,Org Chickpea Flour 700g,2,$17.60 ,1
2018,1,2018-01,,The Vitamin Farm / Supreme Health,,Edmonton,AB,T5J 2Y9,SOL,SOL00066,Org 4 Grain Pancake Mix 525g,1,$5.17 ,1
2018,1,2018-01,,Lifestyle Markets,,Victoria,BC,V8T 4N4,SOL,SOL00006,Org Brown Rice Flour 1kg,3,$18.90 ,1
2018,1,2018-01,,Lifestyle Markets,,Victoria,BC,V8T 4N4,SOL,SOL00007,Org Buckwheat Flour 1kg,6,$28.26 ,1
2018,1,2018-01,,Lifestyle Markets,,Victoria,BC,V8T 4N4,SOL,SOL00012,Org All-Purpose Mix 1kg,6,$42.12 ,1
2018,1,2018-01,,Lifestyle Markets,,Victoria,BC,V8T 4N4,SOL,SOL00010,Org Tapioca Starch 1kg,6,$38.10 ,1
2018,1,2018-01,,Lifestyle Markets,,Victoria,BC,V8T 4N4,SOL,SOL00014,Org Potato Starch 700g,6,$36.78 ,1
2018,1,2018-01,,Lifestyle Markets,,Victoria,BC,V8T 4N4,SOL,SOL00007,Org Buckwheat Flour 1kg,6,$28.26 ,1
2018,1,2018-01,,Lifestyle Markets,,Victoria,BC,V8T 4N4,SOL,SOL00012,Org All-Purpose Mix 1kg,6,$42.12 ,1
2018,1,2018-01,,Lifestyle Markets,,Victoria,BC,V8T 4N4,SOL,SOL00018,Org Chickpea Flour 700g,6,$52.80 ,1
2018,1,2018-01,,Tottenham Health Foods,,Tottenham,ON,L0G 1W0,SOL,SOL00013,Org Coconut Flour 700g,2,$11.10 ,1
2018,1,2018-01,,Amaranth Whole,,Calgary,AB,T3G 5G8,SOL,SOL00006,Org Brown Rice Flour 1kg,6,$37.80 ,1
2018,1,2018-01,,Amaranth Whole,,Calgary,AB,T3G 5G8,SOL,SOL00010,Org Tapioca Starch 1kg,12,$76.20 ,1
2018,1,2018-01,,Amaranth Whole,,Calgary,AB,T3G 5G8,SOL,SOL00010,Org Tapioca Starch 1kg,-12,($76.20),1
2018,1,2018-01,,Amaranth Whole,,Calgary,AB,T3G 5G8,SOL,SOL00010,Org Tapioca Starch 1kg,6,$38.10 ,1
2018,1,2018-01,,Natures Fare - Vernon,,Vernon,BC,V1T 2E2,SOL,SOL00010,Org Tapioca Starch 1kg,1,$6.21 ,1
